거래일시,종목코드,매매구분,수량,체결단가(USD),실현손익(USD),실현손익(KRW환산),수익률(%),매매사유
2026-02-17 15:30:00,GIS,BUY,1,91.44,0.00,0,0.00,BUY_ENTRY
2026-02-17 21:15:00,GIS,SELL,1,83.90,-7.54,-0,-0.09,STOP_LOSS
2026-02-18 15:30:00,VTOL,BUY,1,189.85,0.00,0,0.00,BUY_ENTRY
2026-02-18 21:15:00,VTOL,SELL,1,192.00,2.15,0,0.01,PROFIT_TAKE
2026-02-20 15:30:00,AMD,BUY,1,204.75,0.00,0,0.00,BUY_ENTRY
2026-02-20 21:15:00,AMD,SELL,1,198.96,-5.79,-0,-0.03,STOP_LOSS
2026-02-21 15:30:00,TQQQ,BUY,1,173.01,0.00,0,0.00,BUY_ENTRY
2026-02-21 21:15:00,TQQQ,SELL,1,176.67,3.66,0,0.02,PROFIT_TAKE
2026-02-23 15:30:00,ARM,BUY,1,175.82,0.00,0,0.00,BUY_ENTRY
2026-02-23 21:15:00,ARM,SELL,1,170.21,-5.61,-0,-0.03,STOP_LOSS
2026-02-24 15:30:00,AMD,BUY,5,20.10,0.00,0,0.00,BUY_ENTRY
2026-02-24 21:15:00,AMD,SELL,5,20.51,2.07,0,0.02,PROFIT_TAKE
2026-02-26 15:30:00,GOOGL,BUY,1,188.23,0.00,0,0.00,BUY_ENTRY
2026-02-26 21:15:00,GOOGL,SELL,1,183.35,-4.88,-0,-0.03,STOP_LOSS
2026-02-28 15:30:00,ARM,BUY,1,153.37,0.00,0,0.00,BUY_ENTRY
2026-02-28 21:15:00,ARM,SELL,1,155.88,2.51,0,0.02,PROFIT_TAKE
2026-03-01 15:30:00,META,BUY,1,97.32,0.00,0,0.00,BUY_ENTRY
2026-03-01 21:15:00,META,SELL,1,89.53,-7.79,-0,-0.09,STOP_LOSS
2026-03-03 15:30:00,COST,BUY,1,175.83,0.00,0,0.00,BUY_ENTRY
2026-03-03 21:15:00,COST,SELL,1,181.03,5.20,0,0.03,PROFIT_TAKE
2026-03-04 15:30:00,PANW,BUY,1,153.87,0.00,0,0.00,BUY_ENTRY
2026-03-04 21:15:00,PANW,SELL,1,147.54,-6.33,-0,-0.04,STOP_LOSS
2026-03-06 15:30:00,AMWD,BUY,1,135.54,0.00,0,0.00,BUY_ENTRY
2026-03-06 21:15:00,AMWD,SELL,1,131.49,-4.05,-0,-0.03,STOP_LOSS
2026-03-08 15:30:00,SMCI,BUY,2,46.19,0.00,0,0.00,BUY_ENTRY
2026-03-08 21:15:00,SMCI,SELL,2,48.18,3.99,0,0.04,PROFIT_TAKE
2026-03-09 15:30:00,MDT,BUY,1,88.79,0.00,0,0.00,BUY_ENTRY
2026-03-09 21:15:00,MDT,SELL,1,81.80,-6.99,-0,-0.09,STOP_LOSS
